,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.6055677122134262
1,CGIAR_PET,0.6106480921036128
2,CHELSA_BIO_Annual_Mean_Temperature,0.5212405639053086
3,CHELSA_BIO_Annual_Precipitation,0.695580385056675
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.39147410578722835
5,CHELSA_BIO_Precipitation_Seasonality,0.5247660815453106
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,1.0
7,EarthEnvTopoMed_AspectCosine,0.22424381394391193
8,EarthEnvTopoMed_AspectSine,0.43980355495766166
9,EarthEnvTopoMed_Elevation,0.5323556510764853
10,EarthEnvTopoMed_Slope,0.4474027868993525
11,EarthEnvTopoMed_TopoPositionIndex,0.3902145289984511
12,EsaCci_BurntAreasProbability,0.15126935302505093
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3408119048643657
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.07337365613082829
16,SG_Depth_to_bedrock,0.36424716128770734
17,SG_SOC_Content_005cm,0.5406023104207234
18,SG_Sand_Content_005cm,0.8501536048245708
19,SG_Soil_pH_H2O_005cm,0.4143508855094461
20,primers,0.19203665667903683
21,sample_type,0.009276822346591806
22,sequencing_platform,0.1020595427067593
23,target_marker,0.15844432250006443
