Pixel_Lat,Pixel_Long,id
,,"90058
"
,,"25382
"
,,"65349
"
,,"97547
"
,,"19312
"
,,"98893
"
21.47083282470703,-158.19583129882812,"58645
"
21.09583282470703,-156.8625030517578,"57379
"
22.070833206176758,-159.58749389648438,"34081
"
20.629167556762695,-156.37916564941406,"48637
"
22.070833206176758,-159.7708282470703,"3687
"
,,"67865
"
,,"34518
"
,,"77491
"
54.704166412353516,-164.42916870117188,"37879
"
64.3125,-156.07083129882812,"36095
"
,,"23753
"
56.295833587646484,-160.05416870117188,"69776
"
61.912498474121094,-161.41250610351562,"9723
"
55.97916793823242,-159.25416564941406,"93142
"
,,"23890
"
61.64583206176758,-161.4375,"54038
"
64.34583282470703,-156.99583435058594,"80380
"
,,"60900
"
61.73749923706055,-160.87083435058594,"98570
"
57.87916564941406,-157.57916259765625,"8800
"
53.63750076293945,-166.6041717529297,"91031
"
64.23750305175781,-160.77915954589844,"58058
"
60.295833587646484,-159.15415954589844,"94553
"
62.9375,-162.67916870117188,"60609
"
58.98749923706055,-160.6374969482422,"65526
"
55.0625,-159.5124969482422,"24555
"
61.27083206176758,-164.82916259765625,"37187
"
60.1875,-158.97084045410156,"63919
"
60.212501525878906,-159.37083435058594,"8106
"
61.76250076293945,-161.44583129882812,"57336
"
59.22916793823242,-156.97084045410156,"42885
"
60.920833587646484,-157.75416564941406,"19623
"
59.09583282470703,-156.3874969482422,"30374
"
59.27083206176758,-158.74583435058594,"12064
"
59.44583511352539,-156.62083435058594,"39886
"
58.40416717529297,-156.8125,"82778
"
,,"95719
"
63.329166412353516,-156.82916259765625,"6562
"
63.76250076293945,-156.94583129882812,"2645
"
62.545833587646484,-158.3125,"13867
"
58.97083282470703,-159.97084045410156,"64278
"
62.34583282470703,-157.70416259765625,"73619
"
60.26250076293945,-157.71249389648438,"10117
"
62.204166412353516,-161.55416870117188,"72071
"
61.23749923706055,-159.04583740234375,"17720
"
60.537498474121094,-159.6374969482422,"18105
"
64.44583129882812,-163.16250610351562,"41741
"
59.579166412353516,-160.9875030517578,"59624
"
56.13750076293945,-160.03750610351562,"42732
"
60.13750076293945,-159.28750610351562,"89879
"
61.11249923706055,-160.8125,"95556
"
,,"5235
"
64.2874984741211,-156.3541717529297,"92418
"
,,"22643
"
61.287498474121094,-160.2708282470703,"52807
"
60.92916488647461,-158.92083740234375,"94824
"
60.42916488647461,-160.46249389648438,"33800
"
64.4124984741211,-173.7624969482422,"63167
"
60.17916488647461,-159.05416870117188,"3904
"
55.92916488647461,-160.3541717529297,"17607
"
60.00416564941406,-161.44583129882812,"77195
"
63.97083282470703,-158.5124969482422,"49333
"
62.037498474121094,-162.40415954589844,"85532
"
62.912498474121094,-160.6041717529297,"47864
"
,,"29025
"
59.22083282470703,-157.49583435058594,"52392
"
59.39583206176758,-158.1041717529297,"17415
"
55.3125,-162.72084045410156,"35305
"
62.99583435058594,-161.08749389648438,"19382
"
62.01250076293945,-159.54583740234375,"53156
"
,,"91389
"
59.77083206176758,-161.7624969482422,"54428
"
59.62916564941406,-159.92916870117188,"7937
"
,,"25838
"
61.27083206176758,-158.79583740234375,"10028
"
63.97916793823242,-157.57916259765625,"8225
"
,,"20571
"
59.87916564941406,-158.9791717529297,"80437
"
63.12916564941406,-158.1041717529297,"38927
"
60.162498474121094,-158.2624969482422,"83297
"
60.1875,-157.7708282470703,"88400
"
62.65416717529297,-161.6125030517578,"31152
"
62.61249923706055,-161.09584045410156,"50732
"
59.64583206176758,-160.6374969482422,"83760
"
62.38750076293945,-158.1875,"50907
"
63.212501525878906,-162.4791717529297,"81232
"
61.09583282470703,-157.2291717529297,"9671
"
61.587501525878906,-159.1458282470703,"71417
"
62.295833587646484,-162.4875030517578,"98371
"
62.90416717529297,-160.58749389648438,"103
"
,,"74709
"
61.67916488647461,-158.6041717529297,"34465
"
61.27083206176758,-157.3541717529297,"76069
"
63.67916488647461,-157.1374969482422,"34223
"
58.329166412353516,-156.67916870117188,"9808
"
57.67916488647461,-156.2708282470703,"52551
"
61.98749923706055,-160.8541717529297,"69272
"
63.670833587646484,-159.21249389648438,"32605
"
61.954166412353516,-156.72084045410156,"47651
"
,,"3058
"
63.82083511352539,-157.57083129882812,"1389
"
